Day of data collection,Patients currently hospitalized in an inpatient bed who have suspected or confirmed COVID-19
"April 15, 2020",0
"April 15, 2020",1
"April 15, 2020",1
"April 15, 2020",0
"April 15, 2020",9
"April 15, 2020",3
"April 15, 2020",5
"April 15, 2020",6
"April 15, 2020",2
"April 15, 2020",7
"April 15, 2020",0
"April 15, 2020",0
"April 15, 2020",0
"April 15, 2020",0
"April 15, 2020",1
"April 15, 2020",4
"April 15, 2020",0
"April 15, 2020",0
"April 15, 2020",0
"April 15, 2020",0
"April 15, 2020",0
"April 15, 2020",0
"April 16, 2020",0
"April 16, 2020",0
"April 16, 2020",1
"April 16, 2020",10
"April 16, 2020",0
"April 16, 2020",0
"April 16, 2020",10
"April 16, 2020",2
"April 16, 2020",0
"April 16, 2020",0
"April 16, 2020",4
"April 16, 2020",0
"April 16, 2020",1
"April 16, 2020",1
"April 16, 2020",0
"April 16, 2020",0
"April 16, 2020",6
"April 16, 2020",8
"April 16, 2020",7
"April 16, 2020",2
"April 16, 2020",7
"April 16, 2020",3
"April 16, 2020",0
"April 16, 2020",0
"April 16, 2020",2
"April 16, 2020",0
"April 16, 2020",0
"April 16, 2020",4
"April 16, 2020",1
"April 16, 2020",0
"April 16, 2020",0
"April 16, 2020",1
"April 16, 2020",0
"April 16, 2020",0
"April 16, 2020",0
"April 17, 2020",0
"April 17, 2020",0
"April 17, 2020",0
"April 17, 2020",10
"April 17, 2020",0
"April 17, 2020",0
"April 17, 2020",1
"April 17, 2020",0
"April 17, 2020",10
"April 17, 2020",3
"April 17, 2020",1
"April 17, 2020",0
"April 17, 2020",0
"April 17, 2020",0
"April 17, 2020",0
"April 17, 2020",5
"April 17, 2020",3
"April 17, 2020",1
"April 17, 2020",0
"April 17, 2020",0
"April 17, 2020",4
"April 17, 2020",7
"April 17, 2020",7
"April 17, 2020",2
"April 17, 2020",0
"April 17, 2020",0
"April 17, 2020",2
"April 17, 2020",0
"April 17, 2020",1
"April 17, 2020",0
"April 17, 2020",0
"April 17, 2020",1
"April 17, 2020",0
"April 17, 2020",0
