Raw data downloaded from https://open-fdoh.hub.arcgis.com/datasets/a91ca3832bd448a2a1b1bedad199ba2b/data?page=12,,,,,,,[1] Reversed date and calculated cumulative positives and totals,,,,,,[2 Added missing dates to time series,,,,,,FL,,,,CTP,,,CTP,,
ObjectId,Date,Negative,Positive,Total,PercentPositive,,Date,Positive,Total,Cumulative Positive,Cumulative Total,,Date,Cumulative Total,Cumulative Positive,,,,Total Tests PCR,pos+neg,Percent Diff,Number Diff,Total Tests (PCR),Percent Diff,Number Diff,Total Tests PCR (People),Percent Diff,Number Diff
1156,8/5/2020 5:00,81172,7573,88745,8.53,,5/12/2020 5:00,799,14557,40967,591519,,5/12/2020 5:00,"591,519",40967,,,,"591,519","594,763",-0.55%,"-3,244",,,,"579,604",2.06%,"11,915"
1157,8/6/2020 5:00,66216,7541,73757,10.22,,5/11/2020 5:00,606,21155,40168,576962,,5/11/2020 5:00,"576,962",40168,,,,"576,962","579,604",-0.46%,"-2,642",,,,,,
1158,8/7/2020 5:00,75044,8343,83387,10.01,,5/10/2020 5:00,383,17780,39562,555807,,5/10/2020 5:00,"555,807",39562,,,,"555,807","561,057",-0.94%,"-5,250",,,,,,
1159,8/8/2020 5:00,65411,6139,71550,8.58,,5/9/2020 5:00,681,13684,39179,538027,,5/9/2020 5:00,"538,027",39179,,,,"538,027","538,948",-0.17%,-921,,,,,,
1160,8/9/2020 5:00,43784,4150,47934,8.66,,5/8/2020 5:00,765,16745,38498,524343,,5/8/2020 5:00,"524,343",38498,,,,"524,343","527,731",-0.64%,"-3,388",,,,,,
1161,8/10/2020 5:00,49710,5762,55472,10.39,,5/7/2020 5:00,344,17302,37733,507598,,5/7/2020 5:00,"507,598",37733,,,,"507,598","513,341",-1.12%,"-5,743",,,,,,
1162,8/11/2020 5:00,58874,8095,66969,12.09,,5/6/2020 5:00,625,13811,37389,490296,,5/6/2020 5:00,"490,296",37389,,,,"490,296","492,950",-0.54%,"-2,654",,,,,,
1163,8/12/2020 5:00,58269,6227,64496,9.65,,5/5/2020 5:00,581,14803,36764,476485,,5/5/2020 5:00,"476,485",36764,,,,"476,485","480,051",-0.74%,"-3,566",,,,,,
1164,8/13/2020 5:00,68626,6106,74732,8.17,,5/4/2020 5:00,574,21067,36183,461682,,5/4/2020 5:00,"461,682",36183,,,,"461,682","465,691",-0.86%,"-4,009",,,,,,
1165,8/14/2020 5:00,74471,6276,80747,7.77,,5/3/2020 5:00,768,15372,35609,440615,,5/3/2020 5:00,"440,615",35609,,,,"440,615","444,270",-0.82%,"-3,655",,,,,,
1166,8/15/2020 5:00,44931,3807,48738,7.81,,5/2/2020 5:00,632,12393,34841,425243,,5/2/2020 5:00,"425,243",34841,,,,"425,243","428,189",-0.69%,"-2,946",,,,,,
1167,8/16/2020 5:00,29896,2676,32572,8.22,,5/1/2020 5:00,703,16386,34209,412850,,5/1/2020 5:00,"412,850",34209,,,,"412,850","416,012",-0.76%,"-3,162",,,,,,
