reportdt,confirmedcases,totalspeccnmi,totaltestedcnmi,deaths,recovered,hospitalized,Date,confirmedcases_cumulative,totalspeccnmi_cumulative,deaths_cumulative,recovered_cumulative,hospitalized_cumulative
2020-06-13,0,301.0,,0,0,0.0,20200613,30,10083.0,2,21,4.0
2020-06-14,0,8.0,,0,2,0.0,20200614,30,10091.0,2,23,4.0
2020-06-15,0,63.0,,0,0,0.0,20200615,30,10154.0,2,23,4.0
2020-06-16,0,83.0,,0,1,0.0,20200616,30,10237.0,2,24,4.0
2020-06-17,0,83.0,,0,1,0.0,20200617,30,10320.0,2,25,4.0
2020-06-18,0,48.0,9717.0,0,0,0.0,20200618,30,10368.0,2,25,4.0
2020-06-19,0,44.0,,0,0,0.0,20200619,30,10412.0,2,25,4.0
2020-06-20,0,73.0,,0,1,0.0,20200620,30,10485.0,2,26,4.0
2020-06-21,0,20.0,,0,1,0.0,20200621,30,10505.0,2,27,4.0
2020-06-22,0,63.0,,0,0,0.0,20200622,30,10568.0,2,27,4.0
2020-06-23,0,77.0,,0,0,0.0,20200623,30,10645.0,2,27,4.0
2020-06-24,0,28.0,,0,0,0.0,20200624,30,10673.0,2,27,4.0
2020-06-25,0,74.0,,0,0,0.0,20200625,30,10747.0,2,27,4.0
2020-06-26,0,18.0,10145.0,0,0,0.0,20200626,30,10765.0,2,27,4.0
2020-06-27,0,126.0,,0,0,0.0,20200627,30,10891.0,2,27,4.0
2020-06-28,0,10.0,,0,0,0.0,20200628,30,10901.0,2,27,4.0
2020-06-29,0,14.0,,0,0,0.0,20200629,30,10915.0,2,27,4.0
2020-06-30,0,109.0,,0,0,0.0,20200630,30,11024.0,2,27,4.0
2020-07-01,0,45.0,,0,0,0.0,20200701,30,11069.0,2,27,4.0
2020-07-02,1,0.0,,0,0,0.0,20200702,31,11069.0,2,27,4.0
2020-07-03,0,0.0,,0,0,0.0,20200703,31,11069.0,2,27,4.0
2020-07-04,0,176.0,,0,1,0.0,20200704,31,11245.0,2,28,4.0
2020-07-05,0,12.0,,0,0,0.0,20200705,31,11257.0,2,28,4.0
2020-07-06,0,78.0,10697.0,0,0,0.0,20200706,31,11335.0,2,28,4.0
2020-07-07,0,,,0,0,0.0,20200707,31,,2,28,4.0
2020-07-08,0,,,0,0,0.0,20200708,31,,2,28,4.0
2020-07-09,0,,,0,0,0.0,20200709,31,,2,28,4.0
2020-07-10,0,,,0,0,0.0,20200710,31,,2,28,4.0
2020-07-11,2,,,0,0,0.0,20200711,33,,2,28,4.0
2020-07-12,0,,,0,1,0.0,20200712,33,,2,29,4.0
2020-07-13,0,,,0,0,0.0,20200713,33,,2,29,4.0
2020-07-14,3,,,0,0,0.0,20200714,36,,2,29,4.0
